Sujet;Prédicat;Objet
Plateforme en ligne;Améliorer l'aboutissement de projets de développement durable innovants et punchy;Université
Université ;collecte de dons;contributeurs externes
Université;encourage les projets de développement durable innovants et punchy;Plateforme en ligne
Projets innovants et punchy;solliciter des contributions matériels et immatériels;Français
Plateforme en ligne;Améliorer la communication;Projets innovants et punchy
Étudiants;Améliorer la communication ;enseignants, étudiants et personnel administratif
