Sujet;Prédicat;Objet
Plateforme en ligne;Améliorer l'aboutissement de projet écologique;Université
Université;Obtenir contribution;Entreprises
Université;Sensibiliser sur l'importance de projets écologiques;Plateforme en ligne
Projets écologiques;Obtenir contribution;Franciliens
Plateforme en ligne;Améliorer la communication;Projets écologiques
Étudiants;Améliorer la communication;Étudiants et enseignants
